year,avgTemp,maxTemp,minTemp,rainFall,avgPrice
20191120,10.4,14.7,7.4,0,2853
20191121,13.6,17.5,7,0,2840
20191122,17.6,21,14.8,0,2831
20191125,13.9,17.8,11.3,0,2829
20191126,14.3,16.1,11.3,0,2793
20191127,13.3,14.8,11.3,8.6,2799
20191128,12.4,16.9,9.3,0,2638
20191129,11.6,16,8.5,0,2623
20191202,10.3,14.9,6.7,0,2660
20191203,8.6,11.9,5.5,0,2666
20191204,10.5,14.7,7.9,0,2664
20191205,8.6,13.2,6.2,0,2691
20191209,10.6,14.6,6.2,0,2713
20191210,13.8,18.1,10.4,0,2718
20191211,13.3,18.4,9,0,2693
20191212,9.4,12.4,6.7,0,2647
20191213,11.2,14.9,6.9,0,2645
20191216,14.5,17.6,12.8,1.7,2641
20191217,16.2,19.8,13.2,9.8,2641
20191218,12.1,14.8,10.4,0,2653
20191219,10.9,13.1,8.5,0,2614
20191220,8.9,11.9,6.1,0,2617
20191223,10.8,15.3,6.3,0,2621
20191224,10.5,14.4,8,0,2618
20191226,11.2,13.8,6.2,19,2569
20191227,6.5,9.6,4.5,0,2569
20191230,13.1,15.5,10.2,0,2574
20191231,5.3,10.7,3.4,0,2574
20200102,8.7,12.7,5.6,0,2543
20200103,9.5,13.4,6.1,0,2542
20200106,14.6,17.3,11.2,1.3,2539
20200107,16.8,18.4,12.4,16.3,2526
20200108,7.8,12.7,6.3,2.4,2540
20200109,8.4,9.8,5.9,0,2540
20200110,9.4,13.1,6.1,0,2573
20200113,7,10.6,3.2,0,2556
20200114,5.4,7.9,3.5,12.4,2552
20200115,6.4,9.3,3,0,2572
20200116,8.2,10.3,6.8,0,2617
